"ref.date","value","id.num","series.name"
2000-01-01,45.4,1475,"id = 1475"
2000-02-01,46.52,1475,"id = 1475"
2000-03-01,49.11,1475,"id = 1475"
2000-04-01,47.99,1475,"id = 1475"
2000-05-01,50.15,1475,"id = 1475"
2000-06-01,46.35,1475,"id = 1475"
2000-07-01,48.85,1475,"id = 1475"
2000-08-01,48.85,1475,"id = 1475"
2000-09-01,48.25,1475,"id = 1475"
2000-10-01,49.37,1475,"id = 1475"
2000-11-01,49.72,1475,"id = 1475"
2000-12-01,67.7,1475,"id = 1475"
2001-01-01,45.65,1475,"id = 1475"
2001-02-01,43.41,1475,"id = 1475"
2001-03-01,49.11,1475,"id = 1475"
2001-04-01,46.87,1475,"id = 1475"
2001-05-01,47.64,1475,"id = 1475"
2001-06-01,45.74,1475,"id = 1475"
2001-07-01,46.09,1475,"id = 1475"
2001-08-01,47.64,1475,"id = 1475"
2001-09-01,46.52,1475,"id = 1475"
2001-10-01,49.72,1475,"id = 1475"
2001-11-01,48.59,1475,"id = 1475"
2001-12-01,66.06,1475,"id = 1475"
2002-01-01,44.36,1475,"id = 1475"
2002-02-01,42.37,1475,"id = 1475"
2002-03-01,49.2,1475,"id = 1475"
2002-04-01,45.65,1475,"id = 1475"
2002-05-01,48.25,1475,"id = 1475"
2002-06-01,45.22,1475,"id = 1475"
2002-07-01,46.43,1475,"id = 1475"
2002-08-01,48.42,1475,"id = 1475"
2002-09-01,45.22,1475,"id = 1475"
2002-10-01,49.46,1475,"id = 1475"
2002-11-01,47.99,1475,"id = 1475"
2002-12-01,62,1475,"id = 1475"
2003-01-01,42.8,1475,"id = 1475"
2003-02-01,41.59,1475,"id = 1475"
2003-03-01,43.84,1475,"id = 1475"
2003-04-01,44.01,1475,"id = 1475"
2003-05-01,45.65,1475,"id = 1475"
2003-06-01,42.63,1475,"id = 1475"
2003-07-01,44.36,1475,"id = 1475"
2003-08-01,46.09,1475,"id = 1475"
2003-09-01,43.93,1475,"id = 1475"
2003-10-01,47.64,1475,"id = 1475"
2003-11-01,47.9,1475,"id = 1475"
2003-12-01,63.21,1475,"id = 1475"
2004-01-01,45.4,1475,"id = 1475"
2004-02-01,44.36,1475,"id = 1475"
2004-03-01,47.73,1475,"id = 1475"
2004-04-01,48.16,1475,"id = 1475"
2004-05-01,50.41,1475,"id = 1475"
2004-06-01,48.08,1475,"id = 1475"
2004-07-01,49.89,1475,"id = 1475"
2004-08-01,48.68,1475,"id = 1475"
2004-09-01,48.08,1475,"id = 1475"
2004-10-01,51.19,1475,"id = 1475"
2004-11-01,50.58,1475,"id = 1475"
2004-12-01,70.3,1475,"id = 1475"
2005-01-01,47.73,1475,"id = 1475"
2005-02-01,43.32,1475,"id = 1475"
2005-03-01,49.72,1475,"id = 1475"
2005-04-01,48.42,1475,"id = 1475"
2005-05-01,50.5,1475,"id = 1475"
2005-06-01,48.94,1475,"id = 1475"
2005-07-01,51.19,1475,"id = 1475"
2005-08-01,51.1,1475,"id = 1475"
2005-09-01,48.77,1475,"id = 1475"
2005-10-01,52.23,1475,"id = 1475"
2005-11-01,51.88,1475,"id = 1475"
2005-12-01,72.89,1475,"id = 1475"
2006-01-01,51.28,1475,"id = 1475"
2006-02-01,46.26,1475,"id = 1475"
2006-03-01,51.19,1475,"id = 1475"
2006-04-01,52.14,1475,"id = 1475"
2006-05-01,53.09,1475,"id = 1475"
2006-06-01,50.76,1475,"id = 1475"
2006-07-01,52.14,1475,"id = 1475"
2006-08-01,53.61,1475,"id = 1475"
2006-09-01,53.52,1475,"id = 1475"
2006-10-01,55.6,1475,"id = 1475"
2006-11-01,55.94,1475,"id = 1475"
2006-12-01,76.7,1475,"id = 1475"
2007-01-01,54.13,1475,"id = 1475"
2007-02-01,50.84,1475,"id = 1475"
2007-03-01,58.37,1475,"id = 1475"
2007-04-01,57.76,1475,"id = 1475"
2007-05-01,60.79,1475,"id = 1475"
2007-06-01,58.37,1475,"id = 1475"
2007-07-01,58.63,1475,"id = 1475"
2007-08-01,60.87,1475,"id = 1475"
2007-09-01,60.27,1475,"id = 1475"
2007-10-01,62.17,1475,"id = 1475"
2007-11-01,64.59,1475,"id = 1475"
2007-12-01,87.33,1475,"id = 1475"
2008-01-01,62.17,1475,"id = 1475"
2008-02-01,59.32,1475,"id = 1475"
2008-03-01,67.7,1475,"id = 1475"
2008-04-01,63.81,1475,"id = 1475"
2008-05-01,70.38,1475,"id = 1475"
2008-06-01,65.54,1475,"id = 1475"
2008-07-01,66.41,1475,"id = 1475"
2008-08-01,69.52,1475,"id = 1475"
2008-09-01,67.7,1475,"id = 1475"
2008-10-01,70.9,1475,"id = 1475"
2008-11-01,69.69,1475,"id = 1475"
2008-12-01,92.78,1475,"id = 1475"
2009-01-01,67.62,1475,"id = 1475"
2009-02-01,62.95,1475,"id = 1475"
2009-03-01,68.83,1475,"id = 1475"
2009-04-01,70.21,1475,"id = 1475"
2009-05-01,73.24,1475,"id = 1475"
2009-06-01,70.3,1475,"id = 1475"
2009-07-01,71.68,1475,"id = 1475"
2009-08-01,73.76,1475,"id = 1475"
2009-09-01,72.03,1475,"id = 1475"
2009-10-01,77.73,1475,"id = 1475"
2009-11-01,76.78,1475,"id = 1475"
2009-12-01,100.48,1475,"id = 1475"
2010-01-01,75.57,1475,"id = 1475"
2010-02-01,70.56,1475,"id = 1475"
2010-03-01,79.98,1475,"id = 1475"
2010-04-01,76.96,1475,"id = 1475"
2010-05-01,80.67,1475,"id = 1475"
2010-06-01,78.51,1475,"id = 1475"
2010-07-01,79.46,1475,"id = 1475"
2010-08-01,81.02,1475,"id = 1475"
2010-09-01,79.72,1475,"id = 1475"
2010-10-01,83.61,1475,"id = 1475"
2010-11-01,83.1,1475,"id = 1475"
2010-12-01,110.68,1475,"id = 1475"
2011-01-01,80.76,1475,"id = 1475"
2011-02-01,74.62,1475,"id = 1475"
2011-03-01,83.27,1475,"id = 1475"
2011-04-01,83.35,1475,"id = 1475"
2011-05-01,85.08,1475,"id = 1475"
